Dosya;Gemini 3.1 Pro;ChatGPT 5.5 Thinking;Claude Sonnet 4.6;Claude Haiku 4.5;Claude Sonnet 4.5;Gemini 3.1 Thinking;ChatGPT 5.4 Thinking;ChatGPT o3
1 no.jpeg;No;No;No;No;No;No;No;No
2 no.jpeg;No;No;No;No;No;No;No;No
3 no.jpg;Yes;No;Yes;No;No;No;No;No
4 no.jpg;No;No;No;No;No;No;No;No
5 no.jpg;No;No;Yes;No;No;No;No;No
6 no.jpg;No;No;No;No;No;No;No;No
7 no.jpg;No;No;No;No;No;No;No;No
8 no.jpg;No;No;No;No;No;No;No;No
9 no.jpg;No;No;No;No;No;No;No;No
10 no.jpg;No;No;No;Yes;No;No;No;No
11 no.jpg;Yes;No;Yes;No;No;No;No;No
12 no.jpg;No;No;No;No;No;No;No;No
13 no.jpg;Yes;No;No;Yes;No;No;No;No
14 no.jpg;No;No;No;Yes;No;No;No;No
15 no.jpg;Yes;Yes;Yes;Yes;Yes;No;No;Yes
17 no.jpg;Yes;No;Yes;Yes;No;No;No;Yes
18 no.jpg;Yes;No;Yes;Yes;No;No;No;Yes
19 no.jpg;No;No;No;No;No;No;No;No
20 no.jpg;No;No;No;No;No;No;No;No
21 no.jpg;No;No;No;No;No;No;No;No
22 no.jpg;No;No;Yes;Yes;No;No;No;No
23 no.jpg;No;No;Yes;Yes;No;No;No;No
24 no.jpg;No;No;Yes;Yes;No;No;No;Yes
25 no.jpg;No;No;No;No;No;No;No;No
26 no.jpg;No;No;No;Yes;No;No;No;No
27 no.jpg;No;No;Yes;No;No;No;No;Yes
28 no.jpg;No;No;Yes;No;No;No;No;Yes
29 no.jpg;No;No;Yes;No;No;No;No;No
30 no.jpg;No;No;Yes;Yes;Yes;No;No;Yes
31 no.jpg;No;No;No;No;No;No;No;No
32 no.jpg;No;No;No;No;No;No;No;Yes
33 no.jpg;No;No;Yes;No;No;Yes;No;Yes
34 no.jpg;No;No;Yes;Yes;No;Yes;No;No
35 no.jpg;No;No;No;Yes;No;Yes;No;No
36 no.jpg;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes
37 no.jpg;No;No;No;No;No;No;No;No
38 no.jpg;No;No;No;Yes;No;No;No;No
39 no.jpg;No;No;No;No;No;No;No;No
40 no.jpg;No;No;No;No;No;No;No;No
41 no.jpg;No;No;No;No;No;No;No;No
42 no.jpg;No;No;Yes;Yes;No;No;No;Yes
43 no.jpg;No;No;No;No;Yes;No;No;Yes
44no.jpg;No;No;Yes;Yes;No;Yes;No;Yes
45 no.jpg;No;No;No;No;Yes;No;No;No
46 no.jpg;No;No;No;Yes;No;No;No;No
47 no.jpg;No;No;No;No;No;No;No;No
48 no.jpeg;No;No;No;No;No;No;No;No
49 no.jpg;No;No;No;No;No;No;No;No
50 no.jpg;No;No;No;Yes;No;No;No;No
N1.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N2.JPG;No;No;No;No;No;No;No;No
N3.jpg;No;No;No;No;No;No;No;No
N5.jpg;No;No;No;Yes;No;No;No;No
N6.jpg;No;No;No;Yes;No;No;No;No
N11.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N15.jpg;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
N16.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N17.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N19.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N20.JPG;Yes;Yes;Yes;No;No;Yes;No;Yes
N21.jpg;No;No;No;No;No;No;No;No
N22.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
N26.JPG;Yes;No;Yes;No;No;No;No;Yes
No11.jpg;No;No;No;No;No;No;Yes;No
No12.jpg;No;No;No;No;No;Yes;No;No
No13.jpg;No;No;No;No;No;No;Yes;No
No14.jpg;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes
No15.jpg;Yes;No;No;Yes;No;No;No;Yes
No16.jpg;No;No;No;No;No;No;Yes;No
No17.jpg;Yes;No;No;Yes;No;No;No;No
No18.jpg;No;No;No;No;No;No;No;No
No19.jpg;No;No;No;No;No;No;No;No
No20.jpg;No;No;No;No;No;No;No;No
No21.jpg;No;No;No;No;No;No;No;No
No22.jpg;No;No;No;No;No;No;No;No
no 1.jpg;No;No;No;No;No;No;No;No
no 2.jpg;No;No;No;No;No;No;No;No
no 3.jpg;No;No;No;No;No;No;No;No
no 4.jpg;No;No;No;No;No;No;No;No
no 5.jpeg;No;No;No;No;No;No;No;No
no 6.jpg;No;No;No;No;No;No;No;No
no 7.jpeg;No;No;No;Yes;No;No;No;No
no 8.jpg;No;No;Yes;No;No;No;No;Yes
no 9.png;Yes;No;Yes;Yes;No;No;No;Yes
no 10.jpg;Yes;No;Yes;Yes;No;Yes;No;Yes
no 89.jpg;No;No;No;No;No;No;No;No
no 90.jpg;No;No;No;No;No;No;No;No
no 91.jpeg;No;No;Yes;No;No;No;No;No
no 92.jpg;No;No;No;No;No;No;No;Yes
no 94.jpg;No;No;No;No;No;No;No;No
no 95.jpg;No;No;No;No;No;No;No;No
no 96.jpg;No;No;No;No;No;No;No;No
no 97.jpg;No;No;No;No;No;No;No;No
no 98.jpg;No;No;No;No;No;No;No;No
no 99.jpg;No;No;No;No;No;No;No;No
no 100.jpg;No;No;No;No;No;No;No;No
no 923.jpg;No;No;No;No;No;No;No;No
no.jpg;No;No;No;No;No;No;No;No
