Dosya;Gemini 3.1 Pro;ChatGPT 5.5 Thinking;Claude Sonnet 4.6;Claude Haiku 4.5;Claude Sonnet 4.5;Gemini 3.1 Thinking;ChatGPT 5.4 Thinking;ChatGPT o3
Y1.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y2.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y3.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y4.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y6.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y7.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y8.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y9.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y10.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y11.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y12.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y13.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y14.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y15.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y16.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y17.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y18.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y19.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y20.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y21.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y22.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y23.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y24.jpg;Yes;Yes;Yes;No;No;Yes;Yes;Yes
Y25.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y26.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y27.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y28.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y29.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y30.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y31.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y32.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y33.jpg;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y34.jpg;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes
Y35.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y36.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y37.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y38.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y39.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y40.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y41.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y42.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y44.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y45.JPG;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes
Y46.jpg;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Y47.JPG;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
